dead_tariff_line,rulings_citing_it,six_digit_heading_status,newest_ruling_citing_it,example_ruling,verify_at
6207.92.20,3,gone entirely,1991-07-02,864181,https://hts.usitc.gov/search?query=6207.92.20
6115.99.80,3,subdivided,2006-09-11,M84442,https://hts.usitc.gov/search?query=6115.99.80
6203.31.00,3,subdivided,2000-03-01,F83622,https://hts.usitc.gov/search?query=6203.31.00
6210.50.70,3,subdivided,2001-03-22,G88273,https://hts.usitc.gov/search?query=6210.50.70
6201.93.25,3,gone entirely,2007-02-22,N006681,https://hts.usitc.gov/search?query=6201.93.25
6210.20.10,3,subdivided,1994-10-14,802357,https://hts.usitc.gov/search?query=6210.20.10
6204.19.30,3,subdivided,1994-01-26,893487,https://hts.usitc.gov/search?query=6204.19.30
6210.40.20,3,subdivided,1994-05-13,897200,https://hts.usitc.gov/search?query=6210.40.20
6108.99.40,3,subdivided,1994-12-15,804275,https://hts.usitc.gov/search?query=6108.99.40
6306.21.00,3,gone entirely,1999-02-11,D87416,https://hts.usitc.gov/search?query=6306.21.00
6201.93.65,3,gone entirely,2021-03-05,N317524,https://hts.usitc.gov/search?query=6201.93.65
6404.11.60,3,subdivided,2006-11-28,N003380,https://hts.usitc.gov/search?query=6404.11.60
6403.19.45,3,subdivided,1992-04-13,089572,https://hts.usitc.gov/search?query=6403.19.45
6202.92.90,2,gone entirely,2021-05-28,N319417,https://hts.usitc.gov/search?query=6202.92.90
6115.19.80,2,gone entirely,2000-04-20,F85843,https://hts.usitc.gov/search?query=6115.19.80
6202.13.30,2,gone entirely,2004-10-28,L80173,https://hts.usitc.gov/search?query=6202.13.30
6303.22.90,2,gone entirely,1999-06-08,E82530,https://hts.usitc.gov/search?query=6303.22.90
6204.39.40,2,subdivided,1991-07-26,089071,https://hts.usitc.gov/search?query=6204.39.40
6211.20.70,2,subdivided,1991-06-04,863062,https://hts.usitc.gov/search?query=6211.20.70
6216.00.39,2,subdivided,1992-04-15,872563,https://hts.usitc.gov/search?query=6216.00.39
6116.10.00,2,subdivided,1999-09-20,E86240,https://hts.usitc.gov/search?query=6116.10.00
6203.11.20,2,subdivided,2000-03-01,F83622,https://hts.usitc.gov/search?query=6203.11.20
6203.40.40,2,gone entirely,2000-10-19,964381,https://hts.usitc.gov/search?query=6203.40.40
6303.11.00,2,gone entirely,2003-10-29,J89824,https://hts.usitc.gov/search?query=6303.11.00
6302.21.10,2,subdivided,1992-09-24,952070,https://hts.usitc.gov/search?query=6302.21.10
6116.92.30,2,subdivided,1990-07-09,853415,https://hts.usitc.gov/search?query=6116.92.30
6116.99.80,2,subdivided,1995-01-05,804947,https://hts.usitc.gov/search?query=6116.99.80
6208.29.00,2,subdivided,1994-11-14,803645,https://hts.usitc.gov/search?query=6208.29.00
6203.42.43,2,subdivided,2000-08-16,G80412,https://hts.usitc.gov/search?query=6203.42.43
6110.62.20,2,gone entirely,2003-07-16,J86540,https://hts.usitc.gov/search?query=6110.62.20
6201.19.10,2,gone entirely,2004-05-06,K85469,https://hts.usitc.gov/search?query=6201.19.10
6216.00.52,2,subdivided,1992-01-22,870100,https://hts.usitc.gov/search?query=6216.00.52
6216.00.18,2,subdivided,1992-12-10,880287,https://hts.usitc.gov/search?query=6216.00.18
6116.10.45,2,subdivided,1993-05-07,884584,https://hts.usitc.gov/search?query=6116.10.45
6406.19.15,2,gone entirely,2009-08-06,N070896,https://hts.usitc.gov/search?query=6406.19.15
6210.30.20,2,subdivided,1994-08-15,800840,https://hts.usitc.gov/search?query=6210.30.20
6207.19.00,2,subdivided,1997-09-12,960423,https://hts.usitc.gov/search?query=6207.19.00
6201.93.47,2,gone entirely,2021-03-05,N317524,https://hts.usitc.gov/search?query=6201.93.47
6401.10.10,2,subdivided,2018-03-02,N294196,https://hts.usitc.gov/search?query=6401.10.10
6403.11.60,2,gone entirely,1993-11-03,955260,https://hts.usitc.gov/search?query=6403.11.60
6404.11.40,2,subdivided,2011-02-10,N143628,https://hts.usitc.gov/search?query=6404.11.40
6404.19.40,2,subdivided,1997-05-14,B84835,https://hts.usitc.gov/search?query=6404.19.40
6402.30.50,2,gone entirely,2006-03-28,M80724,https://hts.usitc.gov/search?query=6402.30.50
6404.99.18,2,gone entirely,2001-02-16,G86756,https://hts.usitc.gov/search?query=6404.99.18
6404.99.60,2,gone entirely,2004-06-29,K87139,https://hts.usitc.gov/search?query=6404.99.60
6402.30.90,2,gone entirely,2006-03-31,M81034,https://hts.usitc.gov/search?query=6402.30.90
6211.42.01,1,subdivided,2001-05-03,H80099,https://hts.usitc.gov/search?query=6211.42.01
6115.80.95,1,gone entirely,2002-11-18,I87882,https://hts.usitc.gov/search?query=6115.80.95
6204.62.35,1,subdivided,2004-09-27,K89138,https://hts.usitc.gov/search?query=6204.62.35
6304.63.35,1,gone entirely,2000-04-11,F84712,https://hts.usitc.gov/search?query=6304.63.35
6307.91.30,1,gone entirely,2001-01-25,G85796,https://hts.usitc.gov/search?query=6307.91.30
6302.10.20,1,subdivided,2003-08-05,J87336,https://hts.usitc.gov/search?query=6302.10.20
6104.20.00,1,gone entirely,2000-06-30,F87955,https://hts.usitc.gov/search?query=6104.20.00
6211.62.40,1,gone entirely,2001-05-11,H80840,https://hts.usitc.gov/search?query=6211.62.40
6106.30.30,1,gone entirely,2003-09-23,J88418,https://hts.usitc.gov/search?query=6106.30.30
6206.40.40,1,subdivided,1997-06-12,B85788,https://hts.usitc.gov/search?query=6206.40.40
6113.93.88,1,gone entirely,1997-06-06,B85822,https://hts.usitc.gov/search?query=6113.93.88
6104.62.24,1,subdivided,1999-07-19,E82916,https://hts.usitc.gov/search?query=6104.62.24
6204.64.40,1,gone entirely,1999-12-08,E88336,https://hts.usitc.gov/search?query=6204.64.40
6209.10.00,1,gone entirely,2000-08-11,G80385,https://hts.usitc.gov/search?query=6209.10.00
6204.31.30,1,subdivided,2000-09-14,G81182,https://hts.usitc.gov/search?query=6204.31.30
6206.42.30,1,gone entirely,2000-11-07,G83444,https://hts.usitc.gov/search?query=6206.42.30
6207.91.40,1,subdivided,2001-01-29,G85842,https://hts.usitc.gov/search?query=6207.91.40
6101.10.20,1,gone entirely,2001-02-28,G86938,https://hts.usitc.gov/search?query=6101.10.20
6117.85.95,1,gone entirely,2001-04-13,G88607,https://hts.usitc.gov/search?query=6117.85.95
6201.14.99,1,gone entirely,2002-01-10,H86467,https://hts.usitc.gov/search?query=6201.14.99
6104.44.22,1,subdivided,2002-06-25,I82275,https://hts.usitc.gov/search?query=6104.44.22
6302.43.40,1,gone entirely,2002-07-18,I83876,https://hts.usitc.gov/search?query=6302.43.40
6209.91.30,1,gone entirely,2002-12-31,I89398,https://hts.usitc.gov/search?query=6209.91.30
6301.31.90,1,gone entirely,2003-05-19,J83769,https://hts.usitc.gov/search?query=6301.31.90
6208.92.20,1,subdivided,2003-10-07,J88783,https://hts.usitc.gov/search?query=6208.92.20
6214.10.00,1,subdivided,2004-07-07,R00470,https://hts.usitc.gov/search?query=6214.10.00
6110.10.17,1,gone entirely,1997-04-17,959976,https://hts.usitc.gov/search?query=6110.10.17
6307.90.70,1,subdivided,1989-12-29,081946,https://hts.usitc.gov/search?query=6307.90.70
6302.42.40,1,gone entirely,1999-12-28,F80689,https://hts.usitc.gov/search?query=6302.42.40
6204.62.42,1,subdivided,2002-12-13,I88711,https://hts.usitc.gov/search?query=6204.62.42
6402.63.35,1,gone entirely,2003-07-01,J85595,https://hts.usitc.gov/search?query=6402.63.35
6106.20.00,1,subdivided,2025-09-17,N352610,https://hts.usitc.gov/search?query=6106.20.00
6216.00.12,1,subdivided,1992-04-15,872563,https://hts.usitc.gov/search?query=6216.00.12
6505.90.01,1,gone entirely,1997-07-02,B86725,https://hts.usitc.gov/search?query=6505.90.01
6204.50.30,1,gone entirely,1999-07-28,E84041,https://hts.usitc.gov/search?query=6204.50.30
6504.30.00,1,gone entirely,1999-12-07,E88879,https://hts.usitc.gov/search?query=6504.30.00
6116.00.58,1,gone entirely,2000-02-10,F82501,https://hts.usitc.gov/search?query=6116.00.58
6204.52.00,1,subdivided,2000-03-14,F83401,https://hts.usitc.gov/search?query=6204.52.00
6203.41.15,1,subdivided,2000-03-01,F83622,https://hts.usitc.gov/search?query=6203.41.15
6208.31.00,1,gone entirely,2001-03-28,G87655,https://hts.usitc.gov/search?query=6208.31.00
6204.63.10,1,subdivided,2001-12-20,H86577,https://hts.usitc.gov/search?query=6204.63.10
6114.20.20,1,subdivided,2003-02-25,I89947,https://hts.usitc.gov/search?query=6114.20.20
6301.91.00,1,gone entirely,2003-08-04,J86059,https://hts.usitc.gov/search?query=6301.91.00
6104.43.30,1,subdivided,2009-12-03,N083077,https://hts.usitc.gov/search?query=6104.43.30
6116.92.20,1,subdivided,1990-10-26,856745,https://hts.usitc.gov/search?query=6116.92.20
6116.10.18,1,subdivided,1991-05-14,862521,https://hts.usitc.gov/search?query=6116.10.18
6402.99.10,1,subdivided,1997-09-09,B88821,https://hts.usitc.gov/search?query=6402.99.10
6110.10.00,1,gone entirely,1999-04-30,E80889,https://hts.usitc.gov/search?query=6110.10.00
6211.43.09,1,subdivided,2000-07-09,A85836,https://hts.usitc.gov/search?query=6211.43.09
6104.52.20,1,subdivided,2000-06-20,F87725,https://hts.usitc.gov/search?query=6104.52.20
6212.10.00,1,subdivided,2004-07-28,K87437,https://hts.usitc.gov/search?query=6212.10.00
6201.92.45,1,gone entirely,2019-10-09,N306216,https://hts.usitc.gov/search?query=6201.92.45
6211.20.60,1,subdivided,1999-03-26,962441,https://hts.usitc.gov/search?query=6211.20.60
6307.90.86,1,subdivided,1992-03-24,950789,https://hts.usitc.gov/search?query=6307.90.86
6108.40.30,1,gone entirely,1997-09-09,B88755,https://hts.usitc.gov/search?query=6108.40.30
