dead_tariff_line,rulings_citing_it,six_digit_heading_status,newest_ruling_citing_it,example_ruling,verify_at
6110.20.07,1,subdivided,2006-07-20,M85009,https://hts.usitc.gov/search?query=6110.20.07
6201.93.60,1,gone entirely,2021-02-25,N317523,https://hts.usitc.gov/search?query=6201.93.60
6216.00.60,1,subdivided,1990-03-01,083645,https://hts.usitc.gov/search?query=6216.00.60
6205.20.30,1,subdivided,2010-12-17,N133127,https://hts.usitc.gov/search?query=6205.20.30
6110.30.13,1,subdivided,2002-01-22,965183,https://hts.usitc.gov/search?query=6110.30.13
6104.49.00,1,subdivided,1993-09-23,954073,https://hts.usitc.gov/search?query=6104.49.00
6506.91.06,1,subdivided,1991-08-15,089998,https://hts.usitc.gov/search?query=6506.91.06
6204.65.35,1,gone entirely,1998-12-14,960332,https://hts.usitc.gov/search?query=6204.65.35
6206.30.39,1,subdivided,1998-07-28,960555,https://hts.usitc.gov/search?query=6206.30.39
6202.19.00,1,gone entirely,1990-05-31,852242,https://hts.usitc.gov/search?query=6202.19.00
6201.93.45,1,gone entirely,1998-11-18,D84022,https://hts.usitc.gov/search?query=6201.93.45
6109.00.00,1,gone entirely,2024-09-03,N341977,https://hts.usitc.gov/search?query=6109.00.00
6208.21.10,1,subdivided,1996-04-18,A81955,https://hts.usitc.gov/search?query=6208.21.10
6201.43.00,1,gone entirely,2003-08-14,965933,https://hts.usitc.gov/search?query=6201.43.00
6202.93.48,1,gone entirely,2019-12-19,N307871,https://hts.usitc.gov/search?query=6202.93.48
6202.93.55,1,gone entirely,2019-12-19,N307871,https://hts.usitc.gov/search?query=6202.93.55
6401.91.50,1,gone entirely,2020-03-12,N309873,https://hts.usitc.gov/search?query=6401.91.50
6402.20.20,1,subdivided,2003-10-06,J88899,https://hts.usitc.gov/search?query=6402.20.20
6404.10.35,1,gone entirely,1991-12-31,950418,https://hts.usitc.gov/search?query=6404.10.35
6303.99.90,1,subdivided,1999-03-18,D89017,https://hts.usitc.gov/search?query=6303.99.90
6404.99.90,1,gone entirely,2005-10-31,L88320,https://hts.usitc.gov/search?query=6404.99.90
6403.19.35,1,subdivided,1993-10-19,890452,https://hts.usitc.gov/search?query=6403.19.35
6404.99.14,1,gone entirely,2003-09-16,J86953,https://hts.usitc.gov/search?query=6404.99.14
6405.99.90,1,gone entirely,2009-02-18,N050820,https://hts.usitc.gov/search?query=6405.99.90
6202.99.30,1,gone entirely,2004-01-26,K81680,https://hts.usitc.gov/search?query=6202.99.30
6402.11.60,1,gone entirely,1988-07-06,081839,https://hts.usitc.gov/search?query=6402.11.60
6116.96.60,1,gone entirely,2011-10-13,N185176,https://hts.usitc.gov/search?query=6116.96.60
6402.21.00,1,gone entirely,2009-12-16,N087103,https://hts.usitc.gov/search?query=6402.21.00
